,Electric Bike,TNC Availability,HRT Reliability,Post-Pandemic WFH,AV Operations
n_linc_hlth_hwy,0.03499764725451743,0.05930869436006267,0.030963666489379715,0.18519909278431523,0.689530899111725
n_mnr_hlth_hwy,0.04308187855704911,0.041888714159095196,0.025389018766434967,0.18254719802189007,0.7070931904955307
inc_park_hwy,0.011654014301173037,0.05055565099743878,0.03791376872859426,0.09679896638217192,0.803077599590622
eth_park_hwy,0.020653834203194887,0.047395785123781335,0.03898964806605679,0.14400873377246964,0.7489519988344974
linc_park_hwy,0.03411763567387399,0.05182912395175984,0.02260906636714348,0.11435250330973487,0.7770916706974879
mnr_park_hwy,0.02588308520303626,0.04894756558190076,0.02322264276954671,0.15286344157696788,0.7490832648685485
n_linc_park_hwy,0.026716879527402603,0.06101523090844638,0.0391096294334478,0.1302316318170137,0.7429266283136896
n_mnr_park_hwy,0.05001854816632963,0.07298278932458384,0.03903989436940353,0.12596326040243508,0.711995507737248
linc_jobs_hwy,0.03972186558139921,0.06822517894121057,0.020269430889774682,0.1143702283855946,0.757413296202021
mnr_jobs_hwy,0.032128387358388244,0.05015739710985253,0.031670218445135775,0.15976580829934076,0.7262781887872828
n_linc_jobs_hwy,0.04562690188469027,0.03141145573907089,0.023232661489958544,0.09883486345324945,0.800894117433031
n_mnr_jobs_hwy,0.030993819482441867,0.045477711615493716,0.028167675167736723,0.1254003979365881,0.7699603957977396
inc_jobs_hwy,0.04084334798529638,0.049143878158853044,0.04866939888029186,0.5464631687007394,0.31488020627481933
eth_jobs_hwy,0.05465808542874503,0.043672972511262266,0.039374938044926214,0.3449321308439114,0.5173618731711551
inc_avg_time_hwy,0.0777313611127042,0.11266705216284092,0.07016205279642267,0.36472482626168684,0.3747147076663454
eth_avg_time_hwy,0.0698348724384439,0.10926979507951468,0.07775732429691486,0.11021475387536889,0.6329232543097577
linc_avg_time_hwy,0.025737460973811688,0.10162655119832067,0.04732865700318106,0.3142632519500888,0.5110440788745979
mnr_avg_time_hwy,0.03738574464675734,0.08001248291420084,0.030185702327856723,0.24952939508110525,0.6028866750300799
n_linc_avg_time_hwy,0.030301603590601123,0.07800287439608954,0.03349315485917608,0.25374334691032074,0.6044590202438125
n_mnr_avg_time_hwy,0.02134880478631526,0.042007030072095955,0.02106227535812549,0.34918535963722186,0.5663965301462415
lbus,0.03865622094909607,0.15694865792995916,0.1988457932751491,0.46212418399129185,0.14342514385450383
xbus,0.021465728595729282,0.07969641933602495,0.03331908257781651,0.4161035898783351,0.44941517961209415
brt,0.03022662961047943,0.22984336506054354,0.07000662687119334,0.503585528408012,0.16633785004977183
lrt,0.03800109095090704,0.09131444227373403,0.09745612644341488,0.5131775429928432,0.26005079733910086
hr,0.022145782141068066,0.0914795059109173,0.40960693660849,0.33321653603533613,0.14355123930418856
cr,0.026709994122569646,0.07136649892103135,0.07026924639150135,0.5154632667263165,0.3161909938385812
bt,0.07252631267014698,0.052811745159950164,0.06598424576377307,0.5340128069371415,0.2746648894689883
shtl,0.01759699224492332,0.3988738129354397,0.1581529419155172,0.2823996868900803,0.1429765660140395
rta,0.039882757671953546,0.35404883688039185,0.059700959896855366,0.5006743885623696,0.045693056988429744
regb,0.027796600522456673,0.059841010361404705,0.043426805800040706,0.06195844477292902,0.8069771385431689
total_transit,0.04995781958588633,0.09528585633906447,0.2486741206080108,0.48117957283233864,0.12490263063469981
inc_avg_time_trn,0.0372626376615884,0.06792209433098108,0.5822540171467832,0.2015768769920193,0.11098437386862799
eth_avg_time_trn,0.03457377786392425,0.09205708302549263,0.5569247055444199,0.18400454082122084,0.13243989274494242
linc_avg_time_trn,0.028818088046670586,0.04140346207490151,0.3634357795822168,0.19187412237967238,0.3744685479165387
mnr_avg_time_trn,0.03683334155879065,0.05058972684123858,0.3808536531540562,0.17980894028512903,0.35191433816078554
n_linc_avg_time_trn,0.015057631425737867,0.061511349199628675,0.3604230483043691,0.225065134294165,0.3379428367760993
n_mnr_avg_time_trn,0.03876379505573744,0.057725992415799926,0.3758376490598163,0.2127479866158734,0.3149245768527728
inc_hlth_trn,0.025715436148928576,0.052106631555125904,0.5074724420174982,0.10295420832442086,0.3117512819540265
eth_hlth_trn,0.017299721035201016,0.05435273222652836,0.5182316281319932,0.08975407400598064,0.3203618446002967
linc_hlth_trn,0.01709121523918155,0.04405458850958123,0.5107580814933064,0.09581061943575599,0.33228549532217483
